"COD_RELATIONSHIP","COD_RELATIONSHIP_NAME","REFERENCE_COD_DATASET","REFERENCE_COD_NAME","TARGET_COD_DATASET","TARGET_COD_NAME","TARGET_FINAL_COD_NAME","COD_TYPE_RELATIONSHIP","DESC"
"DS_RL_CUTOMER_NATION","CUSTOMER_NATION","DS_CUSTOMER","C_NATION","DS_CUS_NATION","CN_NATION","ID_NATION","FK","Relación de CUD_NATION con CUSTOMER"
"DS_RL_CUTOMER_NATION","CUSTOMER_NATION","DS_NATION","N_NATION","DS_CUS_NATION","CN_NATION","ID_NATION","FK","Relación de CUD_NATION con NATION"
